"year","sex","age","deaths"
2006,"male",20,155.211364257209
2006,"male",25,134.182727809458
2006,"male",30,152.207273336102
2006,"male",35,160.218182459054
2006,"male",40,234.319091846367
2006,"male",45,278.379092022607
2006,"male",50,275.3750011015
2006,"male",55,385.5250015421
2006,"male",60,394.537274305421
2006,"male",65,504.687274746021
2006,"male",70,597.814093300347
2006,"male",75,657.895911722492
2006,"male",80,718.516752464566
2006,"male",85,993.352731246137
2007,"male",0,304.602158886946
2007,"male",1,72.6436069713933
2007,"male",5,45.0891353615545
2007,"male",10,72.1426165784872
2007,"male",15,116.229771154229
2007,"male",20,161.318906515784
2007,"male",25,137.271367656288
2007,"male",30,145.287213942787
2007,"male",35,178.352579874593
2007,"male",40,221.437753664523
2007,"male",45,237.46944623752
2007,"male",50,306.606120458571
2007,"male",55,335.663563247128
2007,"male",60,426.843814756049
2007,"male",65,518.564801198441
2007,"male",70,637.786876368677
2007,"male",75,760.503416431552
2007,"male",80,722.945274807313
2007,"male",85,1074.12340239081
2008,"male",0,294.073699751491
2008,"male",1,99.1770610893581
2008,"male",5,39.069751338232
2008,"male",10,58.1037327594219
2008,"male",15,138.24681242759
2008,"male",20,178.318352261674
2008,"male",25,142.253966410998
2008,"male",30,200.35769917042
2008,"male",35,216.386315104054
2008,"male",40,209.373795633089
2008,"male",45,260.465008921546
2008,"male",50,326.583049647785
2008,"male",55,374.668897448686
2008,"male",60,441.788726670777
2008,"male",65,525.938960322354
2008,"male",70,661.180407262387
2008,"male",75,657.173253278979
2008,"male",80,779.391449772935
2008,"male",85,1118.9977498668
2009,"male",0,293.020206775638
2009,"male",1,53.0870468892349
2009,"male",5,33.0541990065047
2009,"male",10,57.0936164657809
2009,"male",15,128.210226449473
2009,"male",20,165.270995032524
2009,"male",25,195.320266856619
2009,"male",30,175.287418973889
2009,"male",35,227.372823468987
2009,"male",40,235.385962622079
2009,"male",45,270.443446416857
2009,"male",50,354.581407524323
2009,"male",55,370.607685830507
2009,"male",60,463.760428485203
2009,"male",65,533.875396074758
2009,"male",70,619.014999576361
2009,"male",75,708.16117265451
2009,"male",80,705.156245472101
2009,"male",85,1119.83619664461
2010,"male",0,278.17307070176
2010,"male",1,68.1532837509961
2010,"male",5,29.0653710114542
2010,"male",10,52.1172169860559
2010,"male",15,150.338125921315
2010,"male",20,207.466613771415
2010,"male",25,206.464359598606
2010,"male",30,195.43956369771
2010,"male",35,216.486901326694
2010,"male",40,246.554526510957
2010,"male",45,285.642439250499
2010,"male",50,346.779943791833
2010,"male",55,421.949006752491
2010,"male",60,479.07749460259
2010,"male",65,525.181186551794
2010,"male",70,669.028261311535
2010,"male",75,813.830388320719
2010,"male",80,779.75374644522
2010,"male",85,1332.99804983566
2011,"male",0,305.176571552214
2011,"male",1,64.2949152672275
2011,"male",5,30.1382415315129
2011,"male",10,45.2073622972694
2011,"male",15,145.668167402312
2011,"male",20,165.760328423321
2011,"male",25,161.741896219119
2011,"male",30,177.815625035926
2011,"male",35,234.07367589475
2011,"male",40,262.202701324162
2011,"male",45,292.340942855675
2011,"male",50,361.658898378155
2011,"male",55,404.857044573323
2011,"male",60,451.069014921643
2011,"male",65,527.419226801476
2011,"male",70,658.546377991353
2011,"male",75,777.566631513033
2011,"male",80,811.723305248748
2011,"male",85,1265.21057131789
2012,"male",0,282.38548881389
2012,"male",1,59.2948029793588
2012,"male",5,29.1449031593458
2012,"male",10,56.2798129973575
2012,"male",15,188.939372205414
2012,"male",20,203.009325454754
2012,"male",25,213.654705177367
2012,"male",30,203.731778570251
2012,"male",35,245.219185202772
2012,"male",40,242.204195220771
2012,"male",45,284.414054968789
2012,"male",50,371.848764446826
2012,"male",55,408.028644230842
2012,"male",60,495.463353708879
2012,"male",65,548.264408502366
2012,"male",70,720.582605698309
2012,"male",75,838.167214996359
2012,"male",80,827.112251729021
2012,"male",85,1352.194796495
2013,"male",0,257.717486219755
2013,"male",1,59.1647147352745
2013,"male",5,31.0865450303985
2013,"male",10,39.1088792317916
2013,"male",15,145.404807400251
2013,"male",20,223.622565863834
2013,"male",25,201.354221523062
2013,"male",30,180.896612797076
2013,"male",35,214.299580944146
2013,"male",40,271.756571072193
2013,"male",45,316.882200955029
2013,"male",50,382.063666341349
2013,"male",55,447.245131727668
2013,"male",60,472.314926107022
2013,"male",65,663.848155165283
2013,"male",70,708.97378504812
2013,"male",75,895.49305523051
2013,"male",80,921.565641385038
2013,"male",85,1549.31329264405
2014,"male",0,263.607250935744
2014,"male",1,55.2065546255727
2014,"male",5,36.1351993912839
2014,"male",10,44.1652437004581
2014,"male",15,137.514508794608
2014,"male",20,170.638441569952
2014,"male",25,160.600886183484
2014,"male",30,181.679752495066
2014,"male",35,242.90884035252
2014,"male",40,279.044039743804
2014,"male",45,309.156705903207
2014,"male",50,392.468415610889
2014,"male",55,474.776369779925
2014,"male",60,567.704738409771
